City citipy;Country code citipy;Country;City ID;City;Country Abbreviation;Longitude;Latitude;Temperature;Humidity;Wind;Clouds
Weyburn;CA;Canada;6179652;Weyburn;CA;-103.85;49.67;-7.16;94;1.72;0
Gravdal;NO;Norway;3147822;Gravdal;NO;5.78;59.79;5.98;93;9.3;75
Strezhevoy;RU;Russian federation;1490796;Strezhevoy;RU;77.6;60.73;-34.0;73;2.0;0
Qaanaaq;GL;Greenland;3831208;Qaanaaq;GL;-69.36;77.48;-27.78;100;4.12;0
Sobolevo;RU;Russian federation;525426;Sobolevo;RU;31.9;54.43;-11.88;79;1.22;44
Fukue;JP;Japan;1848373;Fukue;JP;136.69;35.03;3.29;86;5.7;75
Newport;GB;United kingdom of great britain and northern ireland;2641598;Newport;GB;-3.0;51.59;5.82;100;2.6;90
Siocon;PH;Philippines;1724435;Siocon;PH;124.04;11.03;26.57;98;9.22;68
Kodinsk;RU;Russian federation;1503037;Kodinsk;RU;99.18;58.6;-12.33;60;2.97;68
Diapaga;BF;Burkina faso;2361373;Diapaga;BF;1.79;12.07;27.85;39;1.22;0
Chapais;CA;Canada;5919850;Chapais;CA;-74.86;49.78;-16.0;77;6.2;90
Tessalit;ML;Mali;2449893;Tessalit;ML;1.01;20.2;17.07;25;1.67;0
Nayoro;JP;Japan;2128983;Nayoro;JP;142.46;44.36;-7.63;82;1.82;48
Prince rupert;CA;Canada;6113406;Prince Rupert;CA;-130.32;54.32;7.0;87;5.7;90
Hamilton;BM;Bermuda;3573197;Hamilton;BM;-64.78;32.3;18.0;68;10.3;75
Cangzhou;CN;China;1816080;Cangzhou;CN;116.85;38.3;-7.38;66;1.32;44
Kamenka;RU;Russian federation;553725;Kamenka;RU;44.05;53.19;-13.48;90;3.72;56
Ixtapa;MX;Mexico;4004293;Ixtapa;MX;-105.21;20.71;28.0;65;4.1;5
Sai buri;TH;Thailand;1606851;Sai Buri;TH;101.62;6.7;25.17;87;2.12;68
Rock hill;US;United states of america;4593142;Rock Hill;US;-81.03;34.92;6.75;38;3.1;1
Umm kaddadah;SD;Sudan;364933;Umm Kaddadah;SD;26.69;13.6;17.9;40;4.12;0
Concarneau;FR;France;3024035;Concarneau;FR;-3.92;47.88;4.35;95;2.6;0
Vardo;NO;Norway;777019;Vardo;NO;31.11;70.37;-1.7;92;21.6;75
Jalingo;NG;Nigeria;2351027;Jalingo;NG;10.93;10.3;25.02;35;2.12;0
Ostersund;SE;Sweden;2685750;Ostersund;SE;14.64;63.18;5.0;80;9.3;40
Marawi;SD;Sudan;370481;Marawi;SD;31.82;18.48;19.72;34;4.62;8
Egvekinot;RU;Russian federation;4031742;Egvekinot;RU;-179.17;66.32;-31.43;36;1.07;36
Riviera beach;US;United states of america;4366966;Riviera Beach;US;-76.51;39.16;2.39;51;7.2;1
Zhigansk;RU;Russian federation;2012530;Zhigansk;RU;123.37;66.77;-40.01;86;2.42;32
Umm lajj;SA;Saudi arabia;100926;Umm Lajj;SA;37.27;25.02;18.42;96;5.02;68
Davila;PH;Philippines;1715335;Davila;PH;120.58;18.47;22.0;94;1.0;20
Nador;MA;Morocco;2541479;Nador;MA;-2.93;35.17;12.47;76;3.6;92
Severo-kurilsk;RU;Russian federation;2121385;Severo-Kurilsk;RU;156.12;50.68;-11.51;100;2.22;8
Turnov;CZ;Czechia;3063853;Turnov;CZ;15.16;50.59;0.0;89;3.6;75
Kortkeros;RU;Russian federation;544397;Kortkeros;RU;51.56;61.81;-17.0;91;2.0;75
Tucumcari;US;United states of america;5495360;Tucumcari;US;-103.73;35.17;13.9;38;7.2;1
Belousovka;KZ;Kazakhstan;1520316;Belousovka;KZ;82.52;50.13;-12.0;92;4.0;90
Hidalgotitlan;MX;Mexico;3527113;Hidalgotitlan;MX;-94.63;17.78;26.0;57;5.1;40
Anloga;GH;Ghana;2304548;Anloga;GH;0.9;5.79;29.0;74;4.6;0
