City citipy;Country code citipy;Country;City ID;City;Country Abbreviation;Longitude;Latitude;Temperature;Humidity;Wind;Clouds
Bom jesus;BR;Brazil;3405304;Bom Jesus;BR;-44.36;-9.08;28.9;69;2.32;68
Victoria;SC;Seychelles;241131;Victoria;SC;55.45;-4.62;26.0;83;3.1;40
Kupang;ID;Indonesia;2057087;Kupang;ID;123.6;-10.16;27.22;99;2.27;76
Jamestown;SH;Saint helena, ascension and tristan da cunha;3370903;Jamestown;SH;-5.72;-15.94;22.15;100;5.02;100
Iuna;BR;Brazil;3445764;Iuna;BR;-46.91;-16.38;30.0;49;2.67;76
Lamu;KE;Kenya;189741;Lamu;KE;40.9;-2.27;26.4;98;7.27;75
Mackay;AU;Australia;2159220;Mackay;AU;149.2;-21.15;25.0;94;5.7;100
Pisco;PE;Peru;3932145;Pisco;PE;-76.2;-13.71;22.0;30;3.1;90
Portland;AU;Australia;2152668;Portland;AU;149.98;-33.35;17.0;98;1.02;76
Coihaique;CL;Chile;3894426;Coihaique;CL;-72.07;-45.58;15.31;40;5.1;75
Kasungu;MW;Malawi;928534;Kasungu;MW;33.48;-13.04;22.75;84;2.37;0
Vilhena;BR;Brazil;3924679;Vilhena;BR;-60.15;-12.74;26.97;71;1.42;48
Sola;VU;Vanuatu;2134814;Sola;VU;167.55;-13.88;26.5;100;2.52;0
Rawson;AR;Argentina;3839307;Rawson;AR;-65.11;-43.3;22.42;40;4.57;0
Puerto ayora;EC;Ecuador;3652764;Puerto Ayora;EC;-90.35;-0.74;29.0;58;4.6;0
Faanui;PF;French polynesia;4034551;Faanui;PF;-151.75;-16.48;28.9;100;7.77;76
Maningrida;AU;Australia;2067089;Maningrida;AU;134.23;-12.05;27.25;86;2.32;0
Ranfurly;NZ;New zealand;2183774;Ranfurly;NZ;170.1;-45.13;9.72;81;0.77;88
Broome;AU;Australia;2075720;Broome;AU;122.23;-17.97;29.0;70;4.6;40
San alberto;PY;Paraguay;3437136;San Alberto;PY;-54.91;-24.98;23.0;94;4.1;90
Crato;BR;Brazil;3401545;Crato;BR;-39.41;-7.24;32.0;43;2.6;20
Itaituba;BR;Brazil;3397967;Itaituba;BR;-55.99;-4.26;26.0;88;1.0;75
Mufumbwe;ZM;Zambia;905382;Mufumbwe;ZM;24.8;-13.68;23.42;87;1.67;48
Barcelos;BR;Brazil;3665098;Barcelos;BR;-62.93;-0.97;27.97;82;2.37;88
Mayumba;GA;Gabon;2399001;Mayumba;GA;10.65;-3.44;26.22;100;3.32;88
Moba;CD;Congo (democratic republic of the);212962;Moba;CD;29.77;-7.04;21.02;100;1.67;8
Whyalla;AU;Australia;2058430;Whyalla;AU;137.58;-33.04;15.0;77;2.6;0
Amuntai;ID;Indonesia;1651461;Amuntai;ID;115.25;-2.42;22.37;100;0.87;88
Sao sebastiao;BR;Brazil;3397893;Sao Sebastiao;BR;-58.36;-3.15;22.0;100;1.5;40
Byron bay;AU;Australia;2172880;Byron Bay;AU;153.62;-28.65;19.0;100;3.32;92
Dekar;BW;Botswana;933815;Dekar;BW;21.93;-21.53;31.12;30;1.47;68
Lorengau;PG;Papua new guinea;2092164;Lorengau;PG;147.27;-2.02;28.42;100;3.47;0
Orange;AU;Australia;2154219;Orange;AU;149.1;-33.28;19.15;96;4.12;0
Dondo;MZ;Mozambique;1024696;Dondo;MZ;34.74;-19.62;29.0;83;5.02;75
Hualmay;PE;Peru;3939761;Hualmay;PE;-77.61;-11.1;24.62;71;2.52;44
Cidreira;BR;Brazil;3466165;Cidreira;BR;-50.22;-30.17;28.1;86;4.37;56
Christchurch;NZ;New zealand;2192362;Christchurch;NZ;172.64;-43.53;16.0;93;4.1;8
Sao jose da coroa grande;BR;Brazil;3388456;Sao Jose da Coroa Grande;BR;-35.15;-8.9;24.9;99;3.12;76
Andradas;BR;Brazil;3472254;Andradas;BR;-46.57;-22.07;31.0;40;2.1;20
Tevaitoa;PF;French polynesia;4033375;Tevaitoa;PF;-151.5;-16.78;28.17;100;6.27;92
Mahebourg;MU;Mauritius;934322;Mahebourg;MU;57.7;-20.41;28.0;83;5.1;40
Necochea;AR;Argentina;3430443;Necochea;AR;-58.74;-38.55;14.47;95;3.87;92
Kununurra;AU;Australia;2068110;Kununurra;AU;128.74;-15.77;26.0;94;3.42;24
Bambous virieux;MU;Mauritius;1106677;Bambous Virieux;MU;57.76;-20.34;28.0;83;5.1;40
New norfolk;AU;Australia;2155415;New Norfolk;AU;147.06;-42.78;15.0;72;2.1;75
Lujan;AR;Argentina;3863379;Lujan;AR;-67.67;-46.57;22.25;14;8.27;0
Ancud;CL;Chile;3899695;Ancud;CL;-73.83;-41.87;16.0;55;4.1;0
Puerto leguizamo;CO;Colombia;3671437;Puerto Leguizamo;CO;-74.78;-0.19;28.15;81;1.47;44
Atuona;PF;French polynesia;4020109;Atuona;PF;-139.03;-9.8;27.47;99;8.42;68
Bluff;NZ;New zealand;2206939;Bluff;NZ;168.33;-46.6;13.32;100;10.77;64
Gisborne;NZ;New zealand;2206854;Gisborne;NZ;178.02;-38.66;18.97;66;4.02;0
Kruisfontein;ZA;South africa;986717;Kruisfontein;ZA;24.73;-34.0;19.32;84;5.02;32
Ushuaia;AR;Argentina;3833367;Ushuaia;AR;-68.31;-54.81;15.09;54;3.6;75
Vilhena;BR;Brazil;3924679;Vilhena;BR;-60.15;-12.74;26.97;71;1.42;48
Rumphi;MW;Malawi;924102;Rumphi;MW;33.86;-11.02;18.62;97;0.72;8
Natal;BR;Brazil;3394023;Natal;BR;-35.21;-5.81;30.0;58;9.8;40
Emerald;AU;Australia;2167426;Emerald;AU;148.16;-23.53;23.0;83;3.6;24
Rumphi;MW;Malawi;924102;Rumphi;MW;33.86;-11.02;18.62;97;0.72;8
